Customer_ID,Transaction_ID,Transaction_Date,Category_Code,Transaction_Type,Transaction_Amount,Payment_Code,Number_of_Transactions
99610,5921081,2025-09-28,1,Sale,853.82,4,10
99610,3241432,2026-03-20,8,Sale,1943.64,3,10
99610,7477582,2026-05-23,3,Sale,1496.84,2,10
99610,5359430,2024-10-07,5,Sale,5473.4,3,10
99610,5201054,2024-09-16,2,Sale,2796.16,1,10
99610,7088444,2024-08-25,6,Sale,2363.01,3,10
99610,1244610,2025-12-31,2,Sale,4750.53,1,10
99610,3671472,2024-09-29,9,Return,9513.42,3,
99610,3934998,2026-01-08,1,Sale,513.07,1,10
99610,8915971,2026-06-10,7,Sale,5821.83,1,10
99610,8724607,2025-11-16,5,Sale,6301.21,5,10
22456,7264893,2025-01-22,4,Sale,1142.03,4,8
22456,3250693,2026-07-08,6,Sale,1852.39,5,8
22456,5386181,2025-04-05,3,Sale,2048.26,3,8
22456,5028480,2024-08-11,9,Sale,3818.31,4,8
22456,7908879,2026-05-13,3,Return,945.7,2,
22456,8511972,2025-07-14,4,Sale,1460.68,3,8
22456,9712310,2026-03-05,10,Sale,1028.02,4,8
22456,5978556,2025-01-28,8,Sale,3042.42,3,8
22456,3006843,2025-12-15,10,Sale,914.8,3,8
63403,7461475,2025-12-30,6,Sale,1420.31,5,14
63403,6917493,2024-10-07,9,Sale,4081.7,3,14
63403,4845848,2025-01-29,7,Sale,9999.99,3,14
63403,1583261,2024-09-14,7,Sale,9999.99,4,14
63403,9274290,2024-08-04,8,Sale,2936.77,3,14
63403,1653743,2026-06-26,9,Sale,9468.64,3,14
63403,6076461,2024-08-21,6,Sale,1492.01,4,14
63403,4808209,2025-03-20,1,Sale,508.12,3,14
63403,7480826,2024-12-16,5,Sale,3649.81,1,14
63403,6360239,2025-05-17,3,Sale,4360.5,4,14
63403,3280319,2026-02-06,9,Sale,3375.67,4,14
63403,9780223,2025-11-07,4,Sale,910.35,5,14
63403,3423827,2025-01-04,5,Sale,8585.52,4,14
63403,4656027,2025-09-08,9,Sale,2497.95,4,14
72905,6115808,2025-12-20,4,Sale,899.06,3,3
72905,6478887,2024-08-31,3,Sale,2955.51,4,3
72905,2314858,2025-09-23,1,Sale,1484.61,3,3
76339,2434911,2025-04-22,2,Sale,6703.88,5,13
76339,8557984,2025-11-11,8,Sale,1979.14,2,13
76339,7096127,2025-05-31,2,Sale,2992.14,2,13
76339,1021776,2025-02-24,2,Sale,4737.64,3,13
76339,2988345,2024-09-19,1,Return,683.47,3,
76339,9028967,2025-01-02,3,Sale,1135.98,1,13
76339,4991285,2025-09-30,1,Sale,360.31,2,13
76339,3533981,2024-12-16,9,Sale,5375.79,5,13
76339,3066035,2024-11-13,7,Sale,8197.08,3,13
76339,2852514,2024-09-28,1,Sale,374.97,1,13
76339,7070688,2025-02-20,10,Sale,1497.77,3,13
76339,1101464,2024-11-20,6,Sale,736.68,1,13
76339,7909301,2026-05-28,3,Sale,1007.57,2,13
76339,2000733,2026-04-17,3,Sale,1994.62,3,13
11966,9788564,2024-09-17,3,Sale,2330.71,4,9
11966,1104435,2025-01-30,3,Sale,2062.87,4,9
11966,9694917,2025-08-13,6,Sale,2862.56,4,9
11966,9822086,2026-05-15,2,Sale,4965.16,1,9
11966,8500141,2026-05-16,3,Sale,1750.74,4,9
11966,2349111,2026-03-23,8,Sale,2891.04,4,9
11966,6692023,2025-03-31,9,Sale,3769.9,4,9
11966,9923067,2024-09-30,3,Sale,610.05,4,9
11966,4949066,2026-06-29,6,Return,1825.46,3,
11966,4131254,2024-12-19,9,Sale,3206.16,1,9
98332,8686758,2025-06-21,6,Sale,1189.13,5,7
98332,8525437,2026-05-06,6,Sale,1350.07,1,7
98332,3666286,2026-03-10,2,Sale,2538.63,1,7
98332,6236437,2025-09-25,6,Sale,1987.74,5,7
98332,1906535,2025-02-28,5,Sale,6327.71,5,7
98332,1037465,2026-02-23,2,Sale,1797.74,1,7
98332,9244792,2026-03-16,8,Sale,1139.34,4,7
18341,9753907,2025-05-24,3,Sale,3842.83,5,3
18341,4134681,2025-04-03,6,Sale,2224.28,4,3
18341,7645193,2025-11-28,1,Sale,372.75,3,3
90680,9149749,2026-04-14,1,Sale,274.84,1,26
90680,7627793,2025-11-18,2,Sale,6167.06,5,26
90680,4275464,2024-10-10,7,Sale,8010.76,4,26
90680,9604914,2025-11-07,1,Sale,741.72,2,26
90680,4010074,2025-12-26,1,Sale,621.09,1,26
90680,5374044,2026-06-18,9,Sale,2836.42,1,26
90680,8125046,2024-08-06,3,Sale,1511.37,2,26
90680,3874537,2025-03-08,6,Return,1982.26,3,
90680,8692210,2025-06-12,1,Sale,1692.2,5,26
90680,3038426,2025-10-02,4,Return,2554.81,4,
90680,4291190,2024-11-08,5,Sale,2590.14,4,26
90680,1910837,2025-06-24,7,Sale,4304.76,1,26
90680,5098089,2025-05-04,9,Sale,2100.5,2,26
90680,8565252,2024-09-04,3,Sale,2312.8,5,26
90680,7889367,2025-05-18,10,Sale,921.33,3,26
90680,1740459,2024-10-29,8,Sale,3280.69,5,26
90680,4955895,2026-03-30,5,Sale,9093.18,3,26
90680,2868482,2025-11-05,5,Sale,7794.87,5,26
